iter	Passed	Remaining
470	678	761
471	679	759
472	680	757
473	681	755
474	681	753
475	682	751
476	683	749
477	685	748
478	686	747
479	687	745
480	689	743
481	690	741
482	691	739
483	691	737
484	692	735
485	693	733
486	694	731
487	695	729
488	696	727
489	697	725
490	697	723
491	699	722
492	700	720
493	701	718
494	702	716
495	703	714
496	704	712
497	705	710
498	706	708
499	706	706
500	707	704
501	708	703
502	709	701
503	710	699
504	711	697
505	712	695
506	713	694
507	716	693
508	717	692
509	718	690
510	720	689
511	721	687
512	722	685
513	722	683
514	723	681
515	724	679
516	725	677
517	727	676
518	728	675
519	730	674
520	731	672
521	732	670
522	733	668
523	734	667
524	735	665
525	736	663
526	737	661
527	738	659
528	738	657
529	739	655
530	741	655
531	742	653
532	743	651
533	744	650
534	745	648
535	746	646
536	747	644
537	748	642
538	749	640
539	750	638
540	750	637
541	751	635
542	752	633
543	753	631
544	755	630
545	756	629
546	757	627
547	758	625
548	759	623
549	760	622
550	761	620
551	762	618
552	762	616
553	763	614
554	764	613
555	765	611
556	766	609
557	767	607
558	768	606
559	769	604
560	771	603
561	772	601
562	773	600
563	774	598
564	775	596
565	775	594
566	776	593
567	777	591
568	778	589
569	779	587
570	780	586
571	781	584
572	781	582
573	784	581
574	785	580
575	786	578
576	786	576
577	787	575
578	788	573
579	789	571
580	790	569
581	791	568
582	792	566
583	793	564
584	793	563
585	794	561
586	795	559
587	798	559
588	799	557
589	800	556
590	801	554
591	802	552
592	803	551
593	804	549
594	804	547
595	805	546
596	806	544
597	807	542
598	808	541
599	809	539
600	810	537
601	811	536
602	813	535
603	814	533
604	815	532
605	816	531
606	817	529
607	818	527
608	819	526
609	820	524
610	823	524
611	824	522
612	826	521
613	827	520
614	829	519
615	831	518
616	832	516
617	833	514
618	833	513
619	835	512
620	836	510
621	837	508
622	838	507
623	841	507
624	843	506
625	844	504
626	846	503
627	847	501
628	847	500
629	848	498
630	849	496
631	850	495
632	851	493
633	852	492
634	855	491
635	856	490
636	857	488
637	858	487
638	859	485
639	860	484
640	861	482
641	862	480
642	863	479
643	864	477
644	864	476
645	865	474
646	866	472
647	867	471
648	869	470
649	871	469
650	872	467
651	872	465
652	873	464
653	874	462
654	875	461
655	876	459
656	877	457
657	878	456
658	878	454
659	879	453
660	880	451
661	881	450
662	884	449
663	885	448
664	886	446
665	887	444
666	887	443
667	888	441
668	889	440
669	890	438
670	891	437
671	892	435
672	893	433
673	894	432
674	894	430
675	897	430
676	899	429
677	900	427
678	901	425
679	901	424
680	902	422
681	903	421
682	904	419
683	905	418
684	906	416
685	907	415
686	907	413
687	908	412
688	909	410
689	912	409
690	913	408
691	914	407
692	915	405
693	917	404
694	918	403
695	919	401
696	920	399
697	921	398
698	921	396
699	922	395
700	923	393
701	924	392
702	926	391
703	927	390
704	928	388
705	929	387
706	931	385
707	932	384
708	933	383
709	934	381
710	935	380
711	936	378
712	936	377
713	937	375
714	938	374
715	940	373
716	941	371
717	942	370
718	943	368
719	944	367
720	945	365
721	946	364
722	947	362
723	947	361
724	948	359
725	949	358
726	950	356
727	951	355
728	952	353
729	953	352
730	955	351
731	956	350
732	957	348
733	958	347
734	959	346
735	961	344
736	961	343
737	962	341
738	963	340
739	964	338
740	965	337
741	966	336
742	967	334
743	969	333
744	969	332
745	970	330
746	971	329
747	972	327
748	973	326
749	974	324
750	975	323
751	976	321
752	977	320
753	977	319
754	978	317
755	979	316
756	980	314
757	981	313
758	982	312
759	984	310
760	985	309
761	985	307
762	986	306
763	987	305
764	988	303
765	989	302
766	990	300
767	991	299
768	991	297
769	992	296
770	993	295
771	994	293
772	996	292
773	997	291
774	998	289
775	999	288
776	1000	287
777	1001	285
778	1001	284
779	1002	282
780	1003	281
781	1004	280
782	1005	278
783	1006	277
784	1007	275
785	1007	274
786	1008	273
787	1010	271
788	1011	270
789	1012	269
790	1013	267
791	1014	266
792	1015	265
793	1016	263
794	1017	262
795	1018	260
796	1018	259
797	1019	258
798	1020	256
799	1021	255
800	1022	253
801	1023	252
802	1025	251
803	1026	250
804	1027	248
805	1028	247
806	1028	246
807	1029	244
808	1030	243
809	1031	241
810	1032	240
811	1033	239
812	1034	237
813	1035	236
814	1035	235
815	1036	233
816	1037	232
817	1039	231
818	1040	229
819	1041	228
820	1042	227
821	1043	226
822	1044	224
823	1045	223
824	1046	221
825	1047	220
826	1048	219
827	1048	217
828	1049	216
829	1050	215
830	1051	213
831	1053	212
832	1054	211
833	1055	210
834	1056	208
835	1057	207
836	1058	206
837	1058	204
838	1059	203
839	1060	202
840	1061	200
841	1062	199
842	1063	198
843	1064	196
844	1067	195
845	1069	194
846	1070	193
847	1071	192
848	1072	190
849	1073	189
850	1074	188
851	1075	186
852	1076	185
853	1077	184
854	1078	182
855	1079	181
856	1080	180
857	1081	179
858	1082	177
859	1083	176
860	1084	175
861	1085	173
862	1085	172
863	1086	171
864	1087	169
865	1089	168
866	1090	167
867	1091	165
868	1092	164
869	1092	163
870	1094	162
871	1095	160
872	1096	159
873	1097	158
874	1098	156
875	1098	155
876	1099	154
877	1100	152
878	1101	151
879	1103	150
880	1104	149
881	1105	147
882	1106	146
883	1108	145
884	1109	144
885	1111	142
886	1112	141
887	1112	140
888	1113	139
889	1114	137
890	1115	136
891	1116	135
892	1117	133
893	1118	132
894	1118	131
895	1119	129
896	1120	128
897	1121	127
898	1123	126
899	1124	124
900	1125	123
901	1127	122
902	1128	121
903	1129	119
904	1130	118
905	1130	117
906	1131	116
907	1132	114
908	1133	113
909	1134	112
910	1135	110
911	1136	109
912	1137	108
913	1138	107
914	1139	105
915	1140	104
916	1141	103
917	1142	102
918	1143	100
919	1143	99
920	1144	98
921	1145	96
922	1146	95
923	1147	94
924	1148	93
925	1149	91
926	1150	90
927	1151	89
928	1152	88
929	1153	86
930	1154	85
931	1155	84
932	1156	83
933	1157	81
934	1157	80
935	1158	79
936	1159	77
937	1160	76
938	1161	75
939	1162	74
940	1163	72
941	1164	71
942	1165	70
943	1166	69
944	1167	67
945	1168	66
946	1169	65
947	1170	64
948	1171	62
949	1171	61
950	1172	60
951	1173	59
952	1174	57
953	1175	56
954	1176	55
955	1177	54
956	1178	52
957	1179	51
958	1180	50
959	1181	49
960	1182	47
961	1183	46
962	1184	45
963	1185	44
964	1186	43
965	1187	41
966	1187	40
967	1188	39
968	1189	38
969	1190	36
970	1191	35
971	1193	34
972	1194	33
973	1195	31
974	1196	30
975	1197	29
976	1198	28
977	1199	26
978	1199	25
979	1200	24
980	1201	23
981	1202	22
982	1203	20
983	1204	19
984	1205	18
985	1206	17
986	1207	15
987	1209	14
988	1210	13
989	1211	12
990	1212	11
991	1213	9
992	1214	8
993	1215	7
994	1215	6
995	1216	4
996	1217	3
997	1218	2
998	1219	1
999	1220	0
