iter	Passed	Remaining
459	796	935
460	798	933
461	799	930
462	800	928
463	801	926
464	803	923
465	804	921
466	805	919
467	806	917
468	808	915
469	809	912
470	810	910
471	811	908
472	813	906
473	814	903
474	815	901
475	817	899
476	818	897
477	819	895
478	820	892
479	822	890
480	823	888
481	824	886
482	825	884
483	827	881
484	828	879
485	829	877
486	830	875
487	832	873
488	833	871
489	834	868
490	836	866
491	837	864
492	838	862
493	839	860
494	841	858
495	842	856
496	843	853
497	845	851
498	846	849
499	847	847
500	848	845
501	850	843
502	851	841
503	852	839
504	853	836
505	855	834
506	856	832
507	857	830
508	858	828
509	860	826
510	861	824
511	862	822
512	864	820
513	865	818
514	866	816
515	867	814
516	869	811
517	870	809
518	871	807
519	872	805
520	874	803
521	875	801
522	876	799
523	878	797
524	879	795
525	880	793
526	881	791
527	883	789
528	884	787
529	885	785
530	887	783
531	889	782
532	890	780
533	892	778
534	893	776
535	895	774
536	896	773
537	898	771
538	899	769
539	900	767
540	901	765
541	903	763
542	904	761
543	905	759
544	907	757
545	908	755
546	909	753
547	910	751
548	912	749
549	913	747
550	914	745
551	916	743
552	917	741
553	918	739
554	919	737
555	921	735
556	922	733
557	923	731
558	925	729
559	926	728
560	927	726
561	929	724
562	930	722
563	932	720
564	933	718
565	934	716
566	936	715
567	937	713
568	938	711
569	940	709
570	941	707
571	942	705
572	943	703
573	945	701
574	946	699
575	947	697
576	949	695
577	950	693
578	951	692
579	953	690
580	954	688
581	955	686
582	956	684
583	958	682
584	959	680
585	960	678
586	961	676
587	963	674
588	964	673
589	965	671
590	967	669
591	968	667
592	969	665
593	970	663
594	972	661
595	973	659
596	974	657
597	975	656
598	977	654
599	978	652
600	980	650
601	981	648
602	982	646
603	983	644
604	984	643
605	986	641
606	987	639
607	988	637
608	990	635
609	991	633
610	992	631
611	993	630
612	995	628
613	996	626
614	997	624
615	999	622
616	1000	620
617	1001	619
618	1002	617
619	1004	615
620	1005	613
621	1006	611
622	1008	610
623	1009	608
624	1011	606
625	1012	604
626	1013	602
627	1014	601
628	1016	599
629	1017	597
630	1018	595
631	1019	593
632	1021	592
633	1023	590
634	1025	589
635	1026	587
636	1027	585
637	1028	583
638	1030	581
639	1031	580
640	1032	578
641	1034	576
642	1035	574
643	1036	573
644	1037	571
645	1039	569
646	1040	567
647	1041	565
648	1043	564
649	1044	562
650	1045	560
651	1046	558
652	1048	557
653	1049	555
654	1050	553
655	1052	551
656	1053	550
657	1054	548
658	1056	546
659	1057	544
660	1058	542
661	1059	541
662	1061	539
663	1062	537
664	1063	535
665	1067	535
666	1068	533
667	1070	531
668	1071	530
669	1072	528
670	1074	526
671	1075	524
672	1076	523
673	1077	521
674	1079	519
675	1080	517
676	1081	516
677	1083	514
678	1084	512
679	1085	510
680	1087	509
681	1088	507
682	1089	505
683	1091	504
684	1092	502
685	1093	500
686	1094	498
687	1096	497
688	1097	495
689	1098	493
690	1099	491
691	1101	490
692	1102	488
693	1103	486
694	1105	484
695	1106	483
696	1107	481
697	1108	479
698	1110	478
699	1111	476
700	1112	474
701	1114	472
702	1115	471
703	1116	469
704	1117	467
705	1119	466
706	1120	464
707	1122	462
708	1124	461
709	1125	459
710	1127	458
711	1129	456
712	1130	455
713	1131	453
714	1133	451
715	1134	449
716	1135	448
717	1136	446
718	1138	444
719	1139	443
720	1140	441
721	1142	439
722	1143	438
723	1144	436
724	1145	434
725	1147	432
726	1148	431
727	1149	429
728	1151	427
729	1152	426
730	1153	424
731	1154	422
732	1156	421
733	1157	419
734	1158	417
735	1160	416
736	1161	414
737	1162	412
738	1164	411
739	1165	409
740	1166	407
741	1168	406
742	1169	404
743	1170	402
744	1171	401
745	1173	399
746	1174	397
747	1175	396
748	1177	394
749	1178	392
750	1179	391
751	1181	389
752	1182	387
753	1183	386
754	1184	384
755	1186	382
756	1187	381
757	1188	379
758	1190	377
759	1191	376
760	1192	374
761	1193	372
762	1195	371
763	1196	369
764	1197	367
765	1198	366
766	1200	364
767	1201	362
768	1202	361
769	1204	359
770	1205	358
771	1206	356
772	1207	354
773	1209	353
774	1210	351
775	1211	349
776	1212	348
777	1214	346
778	1215	344
779	1216	343
780	1218	341
781	1219	339
782	1220	338
783	1221	336
784	1223	335
785	1224	333
786	1225	331
787	1227	330
788	1228	328
789	1229	326
790	1230	325
791	1232	323
792	1233	321
793	1234	320
794	1236	318
795	1237	317
796	1238	315
797	1239	313
798	1241	312
799	1242	310
800	1243	308
801	1245	307
802	1246	305
803	1248	304
804	1249	302
805	1250	301
806	1252	299
807	1253	297
808	1254	296
809	1255	294
810	1257	292
811	1258	291
812	1259	289
813	1260	288
814	1262	286
815	1263	284
816	1264	283
817	1265	281
818	1267	280
819	1268	278
820	1269	276
821	1270	275
822	1272	273
823	1273	272
824	1274	270
825	1276	268
826	1277	267
827	1278	265
828	1279	263
829	1281	262
830	1282	260
831	1283	259
832	1284	257
833	1286	256
834	1287	254
835	1288	252
836	1290	251
837	1292	249
838	1293	248
839	1294	246
840	1296	245
841	1297	243
842	1298	241
843	1299	240
844	1301	238
845	1302	237
846	1303	235
847	1305	233
848	1306	232
849	1307	230
850	1308	229
851	1310	227
852	1311	226
853	1312	224
854	1314	222
855	1315	221
856	1316	219
857	1317	218
858	1318	216
859	1320	214
860	1321	213
861	1322	211
862	1323	210
863	1325	208
864	1326	207
865	1327	205
866	1328	203
867	1330	202
868	1331	200
869	1332	199
870	1333	197
871	1335	195
872	1336	194
873	1337	192
874	1338	191
875	1340	189
876	1341	188
877	1342	186
878	1343	185
879	1345	183
880	1347	181
881	1348	180
882	1349	178
883	1351	177
884	1352	175
885	1353	174
886	1355	172
887	1356	171
888	1358	169
889	1359	167
890	1360	166
891	1361	164
892	1362	163
893	1364	161
894	1365	160
895	1366	158
896	1368	157
897	1369	155
898	1370	153
899	1371	152
900	1373	150
901	1374	149
902	1375	147
903	1376	146
904	1378	144
905	1379	143
906	1381	141
907	1382	140
908	1383	138
909	1385	137
910	1386	135
911	1388	133
912	1389	132
913	1390	130
914	1392	129
915	1393	127
916	1395	126
917	1396	124
918	1397	123
919	1399	121
920	1400	120
921	1401	118
922	1402	117
923	1404	115
924	1405	113
925	1406	112
926	1408	110
927	1409	109
928	1410	107
929	1411	106
930	1413	104
931	1414	103
932	1415	101
933	1417	100
934	1418	98
935	1419	97
936	1420	95
937	1422	94
938	1423	92
939	1424	90
940	1425	89
941	1426	87
942	1428	86
943	1429	84
944	1430	83
945	1431	81
946	1433	80
947	1434	78
948	1435	77
949	1437	75
950	1438	74
951	1439	72
952	1441	71
953	1442	69
954	1443	68
955	1444	66
956	1446	64
957	1447	63
958	1448	61
959	1449	60
960	1451	58
961	1452	57
962	1453	55
963	1455	54
964	1456	52
965	1457	51
966	1458	49
967	1459	48
968	1461	46
969	1462	45
970	1463	43
971	1465	42
972	1466	40
973	1468	39
974	1469	37
975	1470	36
